News Org,Tweets Ago,Date,Tweet,Compound,Positive,Neutral,Negative
@CBS,13,Wed Nov 29 03:53:09 +0000 2017,RT @victoriaa_POW: how does one become a vs angel overnight......asking for a friend #vsfashionshow,0.4939,0.225,0.0,0.775
@CBS,14,Wed Nov 29 03:52:28 +0000 2017,RT @MzShortNSweet_: Guys it's almost done... I can not😩💆🏾💖💕😘✨ #VSFashionShow,0.0,0.0,0.0,1.0
@CBS,15,Wed Nov 29 03:47:11 +0000 2017,Absolute goddess. #VSFashionShow https://t.co/cSCwwFltQW,0.0,0.0,0.0,1.0
@CBS,16,Wed Nov 29 03:45:32 +0000 2017,FIERCE. #VSFashionShow https://t.co/VNlXH4Z3kJ,0.0,0.0,0.0,1.0
@CBS,17,Wed Nov 29 03:42:10 +0000 2017,RT @__lowens: Is it just me or are the models this year EXTRA beautiful? #Diversity #VSFashionShow,0.5994,0.206,0.0,0.794
@CBS,18,Wed Nov 29 03:39:21 +0000 2017,RT @Ceci20GS: Can’t believe this is @AngelAlessandra last walk 😭#VSFashionShow,0.0,0.0,0.0,1.0
@CBS,19,Wed Nov 29 03:36:37 +0000 2017,RT @JustHedyJ: All these ladies are so beautiful I love them all. #VSFashionShow,0.8878,0.486,0.0,0.514
@CBS,20,Wed Nov 29 03:34:35 +0000 2017,💖 #VSFashionShow https://t.co/Vs9sktkL8c,0.0,0.0,0.0,1.0
@CBS,21,Wed Nov 29 03:26:10 +0000 2017,"It's not about how we fall, it's about how we get up. #VSFashionShow https://t.co/NCe08O8OjU",0.0,0.0,0.0,1.0
@CBS,22,Wed Nov 29 03:22:53 +0000 2017,Runway ready! #VSFashionShow https://t.co/tUeJ2A6xRx,0.4199,0.482,0.0,0.518
@CBS,23,Wed Nov 29 03:22:27 +0000 2017,RT @VictoriasSecret: That VOICE 😱! @leslieodomjr making us actually excited for ❄. #VSFashionShow https://t.co/peaKzrveKi,0.4003,0.172,0.0,0.828
